season,conf,w,l,wl,w_conf,l_conf,wl_conf,srs,sos,pts,pts_vs,ap_pre,ap_high,ap_final,ncaa_tournament,seed,coaches,seeded,year,is_ap_pre,is_ap_high,is_ap_final,pts_diff,school,pts_total
2018-19,Southland,27,6,0.818,14,4,0.778,-1.28,-8.1,74.5,63.1,30,30,30,0,15,Joe Golding,TRUE,2019,FALSE,FALSE,FALSE,11.399999999999999,abilene-christian,137.6
2017-18,Southland,16,16,0.5,8,10,0.444,-9.14,-6.82,73.7,71.2,30,30,30,0,20,Joe Golding,FALSE,2018,FALSE,FALSE,FALSE,2.5,abilene-christian,144.9
2016-17,Southland,13,16,0.448,7,11,0.389,-11.86,-7.1,69.3,71.5,30,30,30,0,20,Joe Golding,FALSE,2017,FALSE,FALSE,FALSE,-2.200000000000003,abilene-christian,140.8
2015-16,Southland,13,18,0.419,8,10,0.444,-13.93,-7.53,71.3,73.3,30,30,30,0,20,Joe Golding,FALSE,2016,FALSE,FALSE,FALSE,-2,abilene-christian,144.6
2014-15,Southland,10,21,0.323,4,14,0.222,-17.2,-6.34,63.7,70.5,30,30,30,0,20,Joe Golding,FALSE,2015,FALSE,FALSE,FALSE,-6.799999999999997,abilene-christian,134.2
2013-14,Southland,11,20,0.355,2,12,0.143,-19.6,-4.12,71.4,71.9,30,30,30,0,20,Joe Golding,FALSE,2014,FALSE,FALSE,FALSE,-0.5,abilene-christian,143.3
1972-73,Southland,6,20,0.231,2,10,0.167,-13.76,-3.16,78.5,86.7,30,30,30,0,20,Carnie Hatch,FALSE,1973,FALSE,FALSE,FALSE,-8.200000000000003,abilene-christian,165.2
1971-72,Southland,17,8,0.68,3,5,0.375,-10.62,-9.69,81.4,76.2,30,30,30,0,20,Carnie Hatch,FALSE,1972,FALSE,FALSE,FALSE,5.200000000000003,abilene-christian,157.60000000000002
1970-71,Southland,15,9,0.625,5,3,0.625,-9.04,-10.29,78.3,74,30,30,30,0,20,Carnie Hatch,FALSE,1971,FALSE,FALSE,FALSE,4.299999999999997,abilene-christian,152.3
1969-70-nm,Southland,10,16,0.385,1,7,0.125,-7.668763796909492,-5.131633554083885,71.1,76.1,30,30,30,0,20,Carnie Hatch,FALSE,1970,FALSE,FALSE,FALSE,-5,abilene-christian,147.2
